3.16, 3, white, Entry
3.16, 3, white, Exit
3.16, 4, white, Entry
3.16, 4, white, Exit
3.16, 1, white, Entry
3.16, 1, white, Exit
3.16, 2, white, Entry
3.16, 2, white, Exit
3.16, 1, white, Entry
3.16, 1, white, Exit
3.16, 2, white, Entry
3.21, 2, white, Exit
3.21, 4, white, Entry
3.22, 4, white, Exit
3.22, 3, white, Entry
3.22, 3, white, Exit
3.22, 4, white, Entry
3.22, 4, white, Exit
3.22, 1, white, Entry
3.22, 1, white, Exit
3.22, 2, white, Entry
3.22, 2, white, Exit
3.22, 1, white, Entry
3.22, 1, white, Exit
3.22, 2, white, Entry
3.27, 2, white, Exit
3.27, 4, white, Entry
3.27, 4, white, Exit
3.27, 3, white, Entry
3.27, 3, white, Exit
3.27, 4, white, Entry
3.27, 4, white, Exit
3.27, 1, white, Entry
3.27, 1, white, Exit
3.27, 2, white, Entry
3.27, 2, white, Exit
3.27, 1, white, Entry
3.27, 1, white, Exit
3.27, 2, white, Entry
3.31, 2, white, Exit
3.31, 4, white, Entry
3.31, 4, white, Exit
3.31, 3, white, Entry
3.31, 3, white, Exit
3.31, 4, white, Entry
3.31, 4, white, Exit
3.31, 1, white, Entry
3.31, 1, white, Exit
3.31, 2, white, Entry
3.31, 2, white, Exit
3.31, 1, white, Entry
3.31, 1, white, Exit
3.31, 2, white, Entry
3.36, 2, white, Exit
3.36, 4, white, Entry
3.36, 4, white, Exit
3.36, 3, white, Entry
3.36, 3, white, Exit
3.36, 4, white, Entry
3.36, 4, white, Exit
3.36, 1, white, Entry
3.36, 1, white, Exit
3.36, 2, white, Entry
3.36, 2, white, Exit
3.36, 1, white, Entry
3.42, 1, white, Exit
3.42, 4, white, Entry
3.42, 4, white, Exit
3.42, 3, white, Entry
3.42, 3, white, Exit
3.42, 4, white, Entry
3.42, 4, white, Exit
3.42, 3, white, Entry
3.42, 3, white, Exit
3.42, 4, white, Entry
3.42, 4, white, Exit
3.42, 1, white, Entry
3.42, 1, white, Exit
3.42, 2, white, Entry
3.42, 2, white, Exit
3.42, 1, white, Entry
3.47, 1, white, Exit
3.47, 4, white, Entry
3.47, 4, white, Exit
3.47, 2, white, Entry
3.47, 2, white, Exit
3.47, 1, white, Entry
3.52, 1, white, Exit
3.52, 4, white, Entry
3.52, 4, white, Exit
3.52, 1, white, Entry
3.52, 1, white, Exit
3.52, 2, white, Entry
3.52, 2, white, Exit
3.52, 1, white, Entry
3.52, 1, white, Exit
3.52, 2, white, Entry
3.57, 2, white, Exit
3.57, 4, white, Entry
3.57, 4, white, Exit
3.57, 2, white, Entry
3.57, 2, white, Exit
3.57, 1, white, Entry
3.57, 1, white, Exit
3.57, 2, white, Entry
3.62, 2, white, Exit
3.62, 4, white, Entry
3.62, 4, white, Exit
3.62, 2, white, Entry
3.62, 2, white, Exit
3.62, 1, white, Entry
3.68, 1, white, Exit
3.68, 4, white, Entry
3.68, 4, white, Exit
3.68, 3, white, Entry
3.68, 3, white, Exit
3.68, 4, white, Entry
3.68, 4, white, Exit
3.68, 1, white, Entry
3.68, 1, white, Exit
3.68, 2, white, Entry
3.68, 2, white, Exit
3.68, 1, white, Entry
3.74, 1, white, Exit
3.74, 4, white, Entry
3.74, 4, white, Exit
3.74, 2, white, Entry
3.74, 2, white, Exit
3.74, 1, white, Entry
3.79, 1, white, Exit
3.79, 4, white, Entry
3.79, 4, white, Exit
3.79, 3, white, Entry
3.79, 3, white, Exit
3.79, 4, white, Entry
3.79, 4, white, Exit
3.79, 1, white, Entry
3.79, 1, white, Exit
3.79, 2, white, Entry
3.79, 2, white, Exit
3.79, 1, white, Entry
3.82, 1, white, Exit
3.82, 4, white, Entry
3.82, 4, white, Exit
3.82, 1, white, Entry
3.82, 1, white, Exit
3.82, 2, white, Entry
3.82, 2, white, Exit
3.82, 1, white, Entry
3.87, 1, white, Exit
3.87, 4, white, Entry
3.87, 4, white, Exit
3.87, 1, white, Entry
3.87, 1, white, Exit
3.87, 2, white, Entry
3.87, 2, white, Exit
3.87, 1, white, Entry
3.93, 1, white, Exit
3.93, 4, white, Entry
3.93, 4, white, Exit
3.93, 2, white, Entry
3.93, 2, white, Exit
3.93, 1, white, Entry
3.93, 1, white, Exit
3.93, 2, white, Entry
3.93, 2, white, Exit
3.93, 1, white, Entry
3.96, 1, white, Exit
3.96, 4, white, Entry
3.96, 4, white, Exit
3.96, 1, white, Entry
3.96, 1, white, Exit
3.96, 2, white, Entry
3.96, 2, white, Exit
3.96, 1, white, Entry
4.02, 1, white, Exit
4.02, 4, white, Entry
4.02, 4, white, Exit
4.02, 3, white, Entry
4.02, 3, white, Exit
4.02, 4, white, Entry
4.02, 4, white, Exit
4.02, 2, white, Entry
4.02, 2, white, Exit
4.02, 1, white, Entry
4.02, 1, white, Exit
4.02, 2, white, Entry
4.08, 2, white, Exit
4.08, 4, white, Entry
4.08, 4, white, Exit
4.08, 3, white, Entry
4.08, 3, white, Exit
4.08, 4, white, Entry
4.08, 4, white, Exit
4.08, 2, white, Entry
4.08, 2, white, Exit
4.08, 1, white, Entry
4.08, 1, white, Exit
4.08, 2, white, Entry
4.14, 2, white, Exit
4.14, 4, white, Entry
4.14, 4, white, Exit
4.14, 3, white, Entry
4.14, 3, white, Exit
4.14, 4, white, Entry
4.14, 4, white, Exit
4.14, 1, white, Entry
4.14, 1, white, Exit
4.14, 2, white, Entry
4.14, 2, white, Exit
4.14, 1, white, Entry
4.14, 1, white, Exit
4.14, 2, white, Entry
4.14, 2, white, Exit
4.14, 1, white, Entry
4.14, 1, white, Exit
4.14, 2, white, Entry
4.14, 4, yellow, Exit
4.14, 2, yellow, Entry
4.20, 2, white, Exit
4.20, 4, white, Entry
4.20, 4, white, Exit
4.20, 3, white, Entry
4.20, 3, white, Exit
4.20, 4, white, Entry
4.20, 4, white, Exit
4.20, 2, white, Entry
4.20, 2, white, Exit
4.20, 1, white, Entry
4.20, 1, white, Exit
4.20, 2, white, Entry
4.27, 2, white, Exit
4.27, 4, white, Entry
4.27, 4, white, Exit
4.27, 2, white, Entry
4.27, 2, white, Exit
4.27, 1, white, Entry
4.27, 1, white, Exit
4.27, 2, white, Entry
4.27, 2, white, Exit
4.27, 1, white, Entry
4.31, 1, white, Exit
4.31, 4, white, Entry
4.31, 4, white, Exit
4.31, 3, white, Entry
4.31, 3, white, Exit
4.31, 4, white, Entry
4.31, 4, white, Exit
4.31, 1, white, Entry
4.31, 1, white, Exit
4.31, 2, white, Entry
4.31, 2, white, Exit
4.31, 1, white, Entry
4.31, 1, white, Exit
4.31, 2, white, Entry
4.38, 2, white, Exit
4.38, 4, white, Entry
4.38, 4, white, Exit
4.38, 2, white, Entry
4.38, 2, white, Exit
4.38, 1, white, Entry
4.38, 1, white, Exit
4.38, 2, white, Entry
4.43, 2, white, Exit
4.43, 4, white, Entry
4.43, 4, white, Exit
4.43, 1, white, Entry
4.43, 1, white, Exit
4.43, 2, white, Entry
4.43, 2, white, Exit
4.43, 1, white, Entry
4.43, 1, white, Exit
4.43, 2, white, Entry
4.49, 2, white, Exit
4.49, 4, white, Entry
4.49, 4, white, Exit
4.49, 1, white, Entry
4.49, 1, white, Exit
4.49, 2, white, Entry
4.49, 2, white, Exit
4.49, 1, white, Entry
4.49, 1, white, Exit
4.49, 2, white, Entry
4.53, 2, white, Exit
4.53, 4, white, Entry
4.53, 4, white, Exit
4.53, 1, white, Entry
4.53, 1, white, Exit
4.53, 2, white, Entry
4.53, 2, white, Exit
4.53, 1, white, Entry
4.53, 1, white, Exit
4.53, 2, white, Entry
4.58, 2, white, Exit
4.58, 4, white, Entry
4.58, 4, white, Exit
4.58, 2, white, Entry
4.58, 2, white, Exit
4.58, 1, white, Entry
4.58, 1, white, Exit
4.58, 2, white, Entry
4.58, 2, white, Exit
4.58, 1, white, Entry
4.58, 1, white, Exit
4.58, 2, white, Entry
